mapping_id,partition,methods,path,route_name,capability_owner,runtime_owner,external_effects,call_count,structured_route_count,normalized_access_count,ambiguous_access_count,first_called_at,last_called_at,ui_referenced,retired_or_blocked_marker,recommended_tier,recommendation_basis,traffic_match_quality,candidate_v2_operation_id,candidate_v2_method,candidate_v2_path,human_signoff,data_window_start,data_window_end
LEGACY-API-0352,S04,OPTIONS,/api/admin/hxc-dashboard/send-config/{sender_userid},hxc_send_config_delete_options,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0353,S04,"GET,POST",/api/admin/hxc-dashboard/{unknown_path:path},hxc_dashboard_unknown_path,hxc_dashboard,ai_crm_next,none,0,0,0,0,,,false,false,B,zero_observed_traffic_and_no_ui_reference,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0354,S02,GET,/api/admin/identity/links/{identity_key},admin_identity_links,identity_contact,ai_crm_next,none,0,0,0,0,,,false,false,B,zero_observed_traffic_and_no_ui_reference,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0355,S02,GET,/api/admin/identity/resolve,admin_resolve_identity,identity_contact,ai_crm_next,none,39,0,39,0,2026-07-14T12:12:28.729597+08:00,2026-07-16T14:25:56.741314+08:00,false,false,A,observed_production_traffic,normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0356,S04,GET,/api/admin/image-library,list_images,media_library,ai_crm_next,none,59,45,14,0,2026-07-12T19:36:37.594961+08:00,2026-08-05T11:26:06.791488+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0357,S04,POST,/api/admin/image-library,create_image,media_library,ai_crm_next,none,0,0,0,0,,,true,false,A,ui_referenced_with_zero_observed_traffic,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0358,S04,GET,/api/admin/image-library/facets,list_image_facets,media_library,ai_crm_next,none,27,18,9,0,2026-07-13T14:02:20.084572+08:00,2026-08-05T11:25:39.706416+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0359,S04,POST,/api/admin/image-library/from-base64,image_from_base64,media_library,ai_crm_next,none,0,0,0,0,,,false,false,B,zero_observed_traffic_and_no_ui_reference,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0360,S04,POST,/api/admin/image-library/from-url,image_from_url,media_library,ai_crm_next,none,0,0,0,0,,,false,false,B,zero_observed_traffic_and_no_ui_reference,no_observed_match,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0361,S04,POST,/api/admin/image-library/upload,upload_image,media_library,ai_crm_next,none,35,33,2,0,2026-07-14T20:42:26.426054+08:00,2026-08-06T00:03:21.202809+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
